title,price,link,date
Cpu Gamer Amd Ryzen 3 Graficos Radeon Disco Solido  Ram 8gb ,1.890.000,https://articulo.mercadolibre.com.co/MCO-874714483-cpu-gamer-amd-ryzen-3-graficos-radeon-disco-solido-ram-8gb-_JM#position=1&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Pc Equipo Torre Gamer Amd Ryzen 5 5600g Hdd 1tb Ram 8gb,2.859.900,https://articulo.mercadolibre.com.co/MCO-915866443-pc-equipo-torre-gamer-amd-ryzen-5-5600g-hdd-1tb-ram-8gb-_JM#position=2&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Pc Torre Gamer Amd Ryzen 9 7 5 Ssd 16gb Ram T.video + Extra,5.995.000,https://articulo.mercadolibre.com.co/MCO-592249744-pc-torre-gamer-amd-ryzen-9-7-5-ssd-16gb-ram-tvideo-extra-_JM#position=3&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Equipo De Escritorio Gamer A Ryzen 5-5600g / Ddr4 8gb ,3.518.000,https://articulo.mercadolibre.com.co/MCO-878517639-equipo-de-escritorio-gamer-a-ryzen-5-5600g-ddr4-8gb-_JM#position=4&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Torre Cpu Gamer Y Profesional Amd,3.499.900,https://articulo.mercadolibre.com.co/MCO-888264562-torre-cpu-gamer-y-profesional-amd-_JM#position=5&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Cpu Torre Pc Gamer Amd Ryzen 7 5700g Ssd 1tb Ram 16gb,3.519.900,https://articulo.mercadolibre.com.co/MCO-821520125-cpu-torre-pc-gamer-amd-ryzen-7-5700g-ssd-1tb-ram-16gb-_JM#position=6&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Armamos Pc Gamers Concorde A Su Presupuesto,1.400.000,https://articulo.mercadolibre.com.co/MCO-602662223-armamos-pc-gamers-concorde-a-su-presupuesto-_JM#position=7&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Computador Pc Torre Gamer Ryzen 5 3600 Usado,2.300.000,https://articulo.mercadolibre.com.co/MCO-888057378-computador-pc-torre-gamer-ryzen-5-3600-usado-_JM#position=8&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
"Pc Gamer: Torre, Teclado Y Mause.",5.000.000,https://articulo.mercadolibre.com.co/MCO-942136084-pc-gamer-torre-teclado-y-mause-_JM#position=9&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Computador Gaming Lenovo  Gamer Ryzen 72016gb Con Monitor Hp,3.750.000,https://articulo.mercadolibre.com.co/MCO-867148184-computador-gaming-lenovo-gamer-ryzen-72016gb-con-monitor-hp-_JM#position=10&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
Computadora Gamer Asus,4.500.000,https://articulo.mercadolibre.com.co/MCO-925134227-computadora-gamer-asus-_JM#position=11&search_layout=stack&type=item&tracking_id=eb133614-4759-43a6-9288-ffd04858863a,2022-08-29
